Array Index,SeedID,cycle,Allele Frequency,Heterozygosity,No_lineages
10,1811758731,9400,0.0005,0.0919289,0
10,1811758731,9500,0.0275,0.0916832,1
10,1811758731,9600,0.1645,0.0908602,2
10,1811758731,9700,0.264,0.0909656,2
10,1811758731,9800,0.5295,0.0904277,2
10,1811758731,9900,0.7095,0.0905321,2
