cycle,Heterozygosity
1,5.0285e-06
501,0.0024436
1001,0.0047844
1501,0.00702541
2001,0.0092281
2501,0.0114588
3001,0.013643
3501,0.0156914
4001,0.0178828
4501,0.0198249
5001,0.0216836
5501,0.0235736
6001,0.0256129
6501,0.0273855
7001,0.0292928
7501,0.0310643
8001,0.032782
8501,0.0344576
9001,0.0360367
9501,0.0374714
10001,0.0389333
10501,0.0401578
11001,0.0412852
11501,0.0425848
12001,0.0441781
12501,0.0450947
13001,0.046533
13501,0.0475821
14001,0.0489681
14501,0.0502504
15001,0.051508
15501,0.0524483
16001,0.0537249
16501,0.0544477
17001,0.0554623
17501,0.056459
18001,0.057455
18501,0.0582253
19001,0.0589851
19501,0.059519
20001,0.0600468
20501,0.0607031
21001,0.0613045
21501,0.0619883
22001,0.0626344
22501,0.0631583
23001,0.0639447
23501,0.064529
24001,0.0651585
24501,0.0658792
25001,0.0668018
25501,0.0676743
26001,0.0681142
26501,0.0690351
27001,0.0698205
27501,0.0701634
28001,0.0708758
28501,0.0710765
29001,0.0717778
29501,0.0723943
30001,0.0729064
30501,0.0730561
31001,0.073474
31501,0.0736873
32001,0.074355
32501,0.0746445
33001,0.074988
33501,0.0755235
34001,0.0758118
34501,0.0757477
35001,0.0762427
35501,0.0762501
36001,0.0766776
36501,0.0767785
37001,0.0771795
37501,0.0776232
38001,0.077576
38501,0.0784624
39001,0.0787004
39501,0.0787954
40001,0.0785659
40501,0.0788508
41001,0.0793947
41501,0.0794177
42001,0.0798166
42501,0.0802434
43001,0.0810477
43501,0.0810687
44001,0.0813477
44501,0.0817893
45001,0.0819305
45501,0.082574
46001,0.0828812
46501,0.0834153
47001,0.083867
47501,0.0838255
48001,0.0840612
48501,0.084471
49001,0.0845691
49501,0.0844335
50001,0.0841158
50501,0.0841018
51001,0.0840333
51501,0.0846814
52001,0.0844943
52501,0.0847463
53001,0.0847535
53501,0.0850412
54001,0.0850952
54501,0.0852723
55001,0.085947
55501,0.0858159
56001,0.0861585
56501,0.0863128
57001,0.0864134
57501,0.0864294
58001,0.0862569
58501,0.0867767
59001,0.0866949
59501,0.0871811
60001,0.0871464
60501,0.0876885
61001,0.0880989
61501,0.0885543
62001,0.0883624
62501,0.0886774
63001,0.0886304
63501,0.0885826
64001,0.0887491
64501,0.0889468
65001,0.0891065
65501,0.0895621
66001,0.0894815
66501,0.0900617
67001,0.0901357
67501,0.0904266
68001,0.0901822
68501,0.0908006
69001,0.0907267
69501,0.091062
70001,0.09158
