cycle,Heterozygosity
1,5.01279e-06
101,0.000503294
201,0.00100346
301,0.00149599
401,0.00198127
501,0.00248352
601,0.00295829
701,0.00344275
801,0.00390073
901,0.00440874
1001,0.00490265
1101,0.00537404
1201,0.00586571
1301,0.00632957
1401,0.00677907
1501,0.00726386
1601,0.0077218
1701,0.00819396
1801,0.00864251
1901,0.00913251
2001,0.00953424
2101,0.00999761
2201,0.0104361
2301,0.0108828
2401,0.0113555
2501,0.0118009
2601,0.0122303
2701,0.012673
2801,0.0130869
2901,0.0134519
3001,0.0139037
3101,0.0143086
3201,0.0147673
3301,0.0150902
3401,0.015467
3501,0.0158989
3601,0.0163358
3701,0.016797
3801,0.017234
3901,0.0176059
4001,0.0180292
4101,0.0184004
4201,0.0188166
4301,0.0191833
4401,0.0195781
4501,0.0199635
4601,0.0202965
4701,0.0206972
4801,0.0210216
4901,0.0214076
5001,0.0217756
5101,0.02211
5201,0.0224962
5301,0.0227901
5401,0.0231973
5501,0.02358
5601,0.0239159
5701,0.0243488
5801,0.0247543
5901,0.0251905
6001,0.0254779
6101,0.0257839
6201,0.0261652
6301,0.0264838
6401,0.026888
6501,0.0272814
6601,0.0275486
6701,0.0279149
6801,0.0282474
6901,0.0286439
7001,0.0289343
7101,0.02921
7201,0.0294812
7301,0.0297833
7401,0.0301593
7501,0.0304741
7601,0.0307898
7701,0.0310691
7801,0.0313666
7901,0.0316972
8001,0.0320005
8101,0.0323899
8201,0.0327169
8301,0.033095
8401,0.0333776
8501,0.0336595
8601,0.0339918
8701,0.0343012
8801,0.0346942
8901,0.0349387
9001,0.0353114
9101,0.0355975
9201,0.0359749
9301,0.0362358
9401,0.0365644
9501,0.0368012
9601,0.0370968
9701,0.0372883
9801,0.0375798
9901,0.0377439
10001,0.0380318
10101,0.0383921
10201,0.0386862
10301,0.0389948
10401,0.0393005
10501,0.0396631
10601,0.0399231
10701,0.0402924
10801,0.0405944
10901,0.04085
11001,0.041185
11101,0.0414936
11201,0.0417221
11301,0.0420225
11401,0.0423107
11501,0.0425298
11601,0.042811
11701,0.0431252
11801,0.0434203
11901,0.0436396
12001,0.0440128
